시도명,시군구명,도서관수,열람좌석수,자료수_도서,대출가능권수,대출자수,대출권수,자료구입비_천원,대출자수_대비_도서관수,대출권수_대비_열람좌석수,대출권수_대비_자료수_도서
경상북도,영천시,4,776,251058,18,19187.0,150956.0,194224.0,4796.75,194.53092783505156,0.6012793856399716
경상북도,예천군,3,1014,258633,20,16874.0,235756.0,830631.0,5624.666666666667,232.5009861932939,0.9115464770543589
경상북도,울릉군,1,60,83626,10,468.0,12150.0,61127.0,468.0,202.5,0.1452897424246048
경상북도,울진군,10,759,282498,55,11959.0,99471.0,129600.0,1195.9,131.05533596837944,0.3521122273432024
경상북도,의성군,2,803,149329,12,7331.0,64402.0,120380.0,3665.5,80.20174346201743,0.4312759075598176
경상북도,청도군,5,450,175426,50,3096.0,75202.0,86599.0,619.2,167.11555555555555,0.42868217938047953
경상북도,청송군,2,405,119303,10,1237.0,34438.0,91114.0,618.5,85.0320987654321,0.2886599666395648
경상북도,칠곡군,6,1143,339788,30,9075.0,223713.0,283898.0,1512.5,195.7244094488189,0.6583899372549943
경상북도,포항시,51,4618,1173728,257,104759.0,1005589.0,624131.0,2054.098039215686,217.75422260718926,0.8567479007061262
경상북도,하양읍,1,162,110757,5,,,,,,
광주광역시,광산구,6,1462,487200,30,32567.0,661831.0,323790.0,5427.833333333333,452.6887824897401,1.358438013136289
광주광역시,남구,81,3805,942878,174,140362.0,2839081.0,3308511.0,1732.8641975308642,746.1448094612352,3.0110799064141913
광주광역시,동구,53,3493,1042032,50,194383.0,2720746.0,2319793.0,3667.603773584906,778.9138276553106,2.611000429929215
광주광역시,북구,98,5813,1301964,359,391613.0,3307711.0,2348277.0,3996.0510204081634,569.0196112162395,2.54055488477408
광주광역시,서구,83,4753,986087,243,388248.0,3846243.0,2840389.0,4677.686746987952,809.2242794024827,3.9005108068557846
대구광역시,군위군,4,667,925129,20,1074.0,31209.0,25900.0,268.5,46.79010494752624,0.03373475482878604
대구광역시,남구,4,1832,392297,40,140362.0,2839081.0,3308511.0,35090.5,1549.7167030567687,7.237070382898671
대구광역시,달서구,53,3406,1316479,215,102965.0,1316258.0,560892.0,1942.7358490566037,386.45273047563126,0.9998321279716578
대구광역시,달성군,47,1980,623772,207,24094.0,528065.0,347829.0,512.6382978723404,266.699494949495,0.846567335500792
대구광역시,동구,17,3089,923229,170,194383.0,2720746.0,2319793.0,11434.29411764706,880.7853674328262,2.9469893168433834
대구광역시,북구,58,3700,896416,249,391613.0,3307711.0,2348277.0,6751.948275862069,893.9759459459459,3.689928559954307
대구광역시,서구,23,2191,656666,124,388248.0,3846243.0,2840389.0,16880.347826086956,1755.4737562756732,5.85722878906476
대구광역시,수성구,11,2889,1047980,93,135171.0,2218133.0,1093761.0,12288.272727272728,767.7857390100381,2.1165795148762383
대구광역시,중구,28,2836,1275358,70,300853.0,2816489.0,3900401.0,10744.75,993.12023977433,2.20839089886918
대전광역시,대덕구,6,3734,684169,60,10741.0,213250.0,263590.0,1790.1666666666667,57.110337439742906,0.31169199422949595
대전광역시,동구,14,2286,1026055,100,194383.0,2720746.0,2319793.0,13884.5,1190.17760279965,2.651657074913138
대전광역시,서구,10,4136,1265184,100,388248.0,3846243.0,2840389.0,38824.8,929.9426982591876,3.040066108961226
대전광역시,유성구,25,3994,1286715,109,105706.0,1154724.0,615580.0,4228.24,289.114672008012,0.8974201746307457
대전광역시,중구,51,6325,1304830,123,300853.0,2816489.0,3900401.0,5899.078431372549,445.29470355731223,2.1585103040242792
부산광역시,강서구,33,1596,357633,120,231570.0,1753637.0,1116765.0,7017.272727272727,1098.7700501253132,4.903454099593717
부산광역시,금정구,2,1451,360072,10,36853.0,684475.0,481953.0,18426.5,471.7263955892488,1.9009392565931258
부산광역시,기장군,7,2439,567584,35,120291.0,711790.0,526999.0,17184.428571428572,291.8368183681837,1.2540698821672212
부산광역시,남구,38,1001,193253,59,140362.0,2839081.0,3308511.0,3693.7368421052633,2836.244755244755,14.691006090461727
부산광역시,동구,2,362,184724,10,194383.0,2720746.0,2319793.0,97191.5,7515.8729281767955,14.728708776336589
